# depth[mm]	eDep/nEvents(50MeV)[MeV]	eDep/nEvents(75MeV)[MeV]	eDep/nEvents(100MeV)[MeV]	eDep/nEvents(125MeV)[MeV]	eDep/nEvents(150MeV)[MeV]	eDep/nEvents(175MeV)[MeV]	eDep/nEvents(200MeV)[MeV]
29	0.000124229	1.4168	0.914656	0.724484	0.620394	0.553762	0.503604
30	5.67E-05	1.44799	0.923836	0.728252	0.624927	0.551234	0.502626
31	3.95E-05	1.48753	0.931764	0.730892	0.625139	0.5541	0.50178
32	6.41E-05	1.53324	0.93833	0.734598	0.62729	0.55511	0.508023
33	3.52E-05	1.57848	0.943174	0.740045	0.627823	0.55481	0.508274
34	3.30E-05	1.63194	0.95577	0.742859	0.632591	0.56071	0.504547
35	3.52E-05	1.68866	0.956755	0.742783	0.633358	0.557496	0.50487
36	4.23E-05	1.76079	0.968451	0.748787	0.634672	0.558701	0.504624
37	3.84E-05	1.84343	0.978822	0.751763	0.632111	0.560203	0.507118
38	9.08E-05	1.93947	0.983985	0.756647	0.638299	0.560336	0.509956
39	5.09E-05	2.05893	0.991107	0.758584	0.642295	0.563609	0.509103
40	3.61E-05	2.20817	1.00473	0.76038	0.643291	0.567338	0.5113
41	4.29E-05	2.39331	1.0179	0.765815	0.642371	0.568036	0.514516
42	1.99E-05	2.65244	1.02674	0.771574	0.642926	0.568908	0.510346
43	0.000122012	3.03131	1.04151	0.771194	0.644923	0.5645	0.510368
44	9.28E-05	3.67645	1.05263	0.775499	0.648377	0.564235	0.515524
45	2.32E-05	4.96589	1.06014	0.781656	0.646152	0.565744	0.516012
46	6.20E-05	3.76957	1.07952	0.782341	0.647888	0.573599	0.515023
47	3.04E-05	0.416819	1.09263	0.786674	0.651951	0.571357	0.516467
48	1.81E-05	0.00260718	1.10592	0.789398	0.649509	0.571205	0.515236
49	1.97E-05	0.000376149	1.12279	0.793902	0.654264	0.571511	0.516989
50	2.65E-05	0.00030792	1.1359	0.801113	0.656552	0.573486	0.516624
